aws_region_name,aws_sub_region_name,aws_municipality_name,aws_neighborhood_name,display_name,search_method
"","Jawa Tengah","Banyumas","Cilongok","Cilongok, Banyumas, Jawa Tengah, Jawa, Indonesia",""
"","Kalimantan Timur","Balikpapan","","Balikpapan, Kalimantan Timur, Indonesia",""
"","Jambi","Muaro Jambi","Sekernan","Sekernan, Muaro Jambi, Jambi, Sumatera, Indonesia",""
"","Jawa Timur","Banyuwangi","Blimbingsari","Blimbingsari, Tamansari, Banyuwangi, Jawa Timur, Jawa, 68454, Indonesia",""
"","Jawa Barat","Bekasi Kabupaten","Sukakarya","Sukakarya, Kab Bekasi, Jawa Barat, Jawa, 17630, Indonesia",""
"","Jawa Timur","Ngawi","Kwadungan","Kwadungan, Ngawi, Jawa Timur, Jawa, Indonesia",""
"","Kepulauan Bangka Belitung","Belitung","","Pulau Belitung, Kepulauan Bangka Belitung, Sumatera, Indonesia",""
"","Aceh","Langsa","Langsa Kota","Langsa Kota, Langsa, Aceh, Sumatera, 24412, Indonesia",""
"","Bengkulu","Kaur","Kaur Selatan","Rumah Dinas Bupati Kaur, Kasuk Baru, Kaur, Bengkulu, Sumatera, Indonesia",""
"","Bengkulu","Bengkulu","Muara Bangka Hulu","Universitas Bengkulu, Jalan WR Supratman, Kandang Limun, Muara Bangkahulu, Bengkulu, Muara Bangkahulu, Bengkulu, Sumatera, 38371, Indonesia",""
"","Jawa Timur","Bojonegoro","Kanor","Jalan Kanor - Simorejo, Simorejo, Bojonegoro, Jawa Timur, Jawa, Indonesia",""
"","Lampung","Way Kanan","Pakuan Ratu","Pakuan Ratu, Way Kanan, Lampung, Sumatera, Indonesia",""
"JABODETABEK","DKI Jakarta","Jakarta Utara","Pademangan","Pademangan, Jakarta Utara, Daerah Khusus ibukota Jakarta, Jawa, Indonesia",""
"","Jawa Timur","Kediri Kota","Pesantren","Pesantren, Kota Kediri, Jawa Timur, Jawa, Indonesia",""
"","Jawa Timur","Malang","Kedungkandang","Kedungkandang, Kota Malang, Jawa Timur, Jawa, 65135, Indonesia",""
"","DKI Jakarta","Jakarta Selatan","Pasar Minggu","Pasar Minggu, Jalan Pasar Minggu Raya, RW 07, Pejaten Timur, Pasar Minggu, Jakarta Selatan, Daerah Khusus ibukota Jakarta, Jawa, 13530, Indonesia",""
"","DKI Jakarta","Jakarta Barat","Tamansari","Taman Sari, Jakarta Barat, Daerah Khusus ibukota Jakarta, Jawa, Indonesia",""
"Bandung Raya","Jawa Barat","Bandung Kabupaten","Nagreg","Nagreg, Kabupaten Bandung, Jawa Barat, Jawa, 40395, Indonesia",""
"","Jawa Tengah","Semarang Kota","Gayamsari","Gayamsari, Kota Semarang, Jawa Tengah, Jawa, 50162, Indonesia",""
"","Jawa Timur","Madiun Kabupaten","Sawahan","Sawahan, Madiun, Jawa Timur, Jawa, Indonesia",""
"","Jawa Tengah","Banjarnegara","Susukan","Susukan, Banjarnegara, Jawa Tengah, Jawa, Indonesia",""
"","Jawa Timur","Ponorogo","Babadan","Babadan, Ponorogo, Jawa Timur, Jawa, 63741, Indonesia",""
"JABODETABEK","Jawa Barat","Bogor","Gunung Putri","Gunung Putri, Kab Bogor, Jawa Barat, Jawa, Indonesia",""
"","Jawa Timur","Probolinggo Kabupaten","Kuripan","Kuripan, Probolinggo, Jawa Timur, Jawa, Indonesia",""
"","Jawa Barat","Bekasi Kabupaten","Kedungwaringin","Kedungwaringin, Kab Bekasi, Jawa Barat, Jawa, 41316, Indonesia",""
"","Jawa Barat","Sukabumi Kabupaten","Ciracap","Ciracap, Kab Sukabumi, Jawa Barat, Jawa, Indonesia",""
"","Sulawesi Tenggara","Kendari","Baruga","Baruga, Kendari, Sulawesi Tenggara, Sulawesi, 93112, Indonesia",""
"","Jawa Barat","Bandung Kabupaten","Kertasari","Kertasari, Kabupaten Bandung, Jawa Barat, Jawa, 40386, Indonesia",""
"Bandung Raya","Jawa Barat","Bandung","Antapani","Antapani, Kota Bandung, Jawa Barat, Jawa, 40291, Indonesia",""
"","Jawa Timur","Pasuruan","Rembang","Rembang, Jalan Tol Gempol–Pasuruan, Pasuruan Industrial Estate Rembang, Pejangkungan, Pasuruan, Jawa Timur, Jawa, 67153, Indonesia",""
"","Sumatera Utara","Karo","Tigapanah","Tigapanah, Karo, Sumatera Utara, Sumatera, 22171, Indonesia",""
"","Aceh","Aceh Barat","Johan Pahlawan","Johan Pahlawan, Aceh Barat, Aceh, Sumatera, 23651, Indonesia",""
"","Lampung","Lampung Utara","Sungkai Jaya","http://nominatim.mad.mitulagroup.net/id/ui/search.html?q=Sungkai+Jaya%2C+Lampung+Utara%2C+Lampung","not_found"
"","Banten","Serang Kabupaten","Pontang","Pontang, Kab Serang, Banten, Jawa, 42193, Indonesia",""
"","Lampung","Pringsewu","Banyumas","Banyumas, Pringsewu, Lampung, Sumatera, Indonesia",""
"","Nusa Tenggara Barat","Mataram","","Mataram, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",""
"Bandung Raya","Jawa Barat","Bandung Kota","Buahbatu","Buahbatu, Kota Bandung, Jawa Barat, Jawa, Indonesia",""
"","Daerah Istimewa Yogyakarta","Sleman","Mlati","Mlati, Sleman, Daerah Istimewa Yogyakarta, Jawa, Indonesia",""
"","Jawa Timur","Malang Kabupaten","Gondanglegi","Gondanglegi, Kabupaten Malang, Jawa Timur, Jawa, 65174, Indonesia",""
"","DKI Jakarta","Jakarta Barat","Grogol Petamburan","Grogol Petamburan, Jakarta Barat, Daerah Khusus ibukota Jakarta, Jawa, Indonesia",""
"JABODETABEK","Banten","Tangerang Kabupaten","Cisauk","Cisauk, Jalan Raya Cisauk, Sampora, Cisauk, Kabupaten Tangerang, Banten, Jawa, 15344, Indonesia",""
"","Jawa Timur","Lamongan","Laren","Laren, Lamongan, Jawa Timur, Jawa, Indonesia",""
"JABODETABEK","Jawa Barat","Bogor Kabupaten","Taman Sari","Taman Sari, Kab Bogor, Jawa Barat, Jawa, 16120, Indonesia",""
"","Jawa Timur","Malang","Klojen","Klojen, Kota Malang, Jawa Timur, Jawa, 65115, Indonesia",""
"","Nusa Tenggara Barat","Lombok Barat","Labu API","Griya Labu Api Asri, Kecamatan Labuapi, Lombok Barat, Nusa Tenggara Barat, Nusa Tenggara, 83361, Indonesia",""
"JABODETABEK","Jawa Barat","Bogor Kabupaten","Cibungbulang","Cibungbulang, Kab Bogor, Jawa Barat, Jawa, 16630, Indonesia",""
"","Jawa Timur","Lamongan","Glagah","Glagah, Lamongan, Jawa Timur, Jawa, 61152, Indonesia",""
"","Kalimantan Timur","Samarinda","Samarinda Ulu","Samarinda Ulu, Samarinda, Kalimantan Timur, Indonesia",""
"","Jawa Barat","Tasikmalaya Kota","Purbaratu","Purbaratu, Tasikmalaya, Jawa Barat, Jawa, Indonesia",""
"","Jawa Barat","Karawang","Rengasdengklok","Rengasdengklok, Karawang, Jawa Barat, Jawa, Indonesia",""
"JABODETABEK","DKI Jakarta","Jakarta","Cempaka Putih","Cempaka Putih, Jakarta Pusat, Daerah Khusus ibukota Jakarta, Jawa, Indonesia",""
"","Jawa Tengah","Pemalang","Ulujami","Ulujami, Pemalang, Jawa Tengah, Jawa, Indonesia",""
"Bandung Raya","Jawa Barat","Bandung","Coblong","Coblong, Kota Bandung, Jawa Barat, Jawa, Indonesia",""
"","Nusa Tenggara Timur","Rote Ndao","Rote Barat","SMA Negeri 1 Rote Barat Daya, Batutua, Rote Ndao, Nusa Tenggara Timur, Nusa Tenggara, Indonesia",""
"","Jawa Timur","Pasuruan","Kejayan","Kejayan, Pasuruan, Jawa Timur, Jawa, 67171, Indonesia",""
"","Lampung","Mesuji","Mesuji Timur","Mesuji, Lampung, Sumatera, Indonesia","without_Timur"
"","Jawa Barat","Majalengka","Argapura","http://nominatim.mad.mitulagroup.net/id/ui/search.html?q=Argapura%2C+Majalengka%2C+Jawa+Barat","not_found"
"","Jawa Tengah","Tegal","","Tegal, Jawa Tengah, Jawa, Indonesia",""
"","Jawa Tengah","Tegal Kabupaten","Dukuhwaru","Dukuhwaru, Tegal, Jawa Tengah, Jawa, 52416, Indonesia",""
"JABODETABEK","Banten","Tangerang Selatan","Ciputat","Ciputat, Tangerang Selatan, Banten, Jawa, Indonesia",""
"","Jawa Barat","Bandung Kota","Sukasari","Sukasari, Kota Bandung, Jawa Barat, Jawa, Indonesia",""
"","Kepulauan Riau","Batam","Batu Ampar","Batu Ampar, Batam, Kepulauan Riau, Sumatera, 29453, Indonesia",""
"","Jawa Barat","Bekasi Kota","Bekasi Utara","KPP Pratama Bekasi Utara, Rawasemut, Margahayu, Bekasi, Jawa Barat, Jawa, Indonesia",""
"","Jawa Timur","Jember","Patrang","Patrang, Jember, Jawa Timur, Jawa, 68111, Indonesia",""
"","Jawa Tengah","Klaten","Juwiring","Juwiring, Klaten, Jawa Tengah, Jawa, 57472, Indonesia",""
"","Banten","Tangerang Kabupaten","Curug","Curug, Kabupaten Tangerang, Banten, Jawa, Indonesia",""
"","Sumatera Utara","Medan","Medan Perjuangan","Medan Perjuangan, Kota Medan, Sumatera Utara, Sumatera, 20233, Indonesia",""
"","Jawa Barat","Bogor Kabupaten","Jonggol","Jonggol, Kab Bogor, Jawa Barat, Jawa, 16830, Indonesia",""
"JABODETABEK","DKI Jakarta","Jakarta","Setiabudi","Setiabudi, Jakarta Selatan, Daerah Khusus ibukota Jakarta, Jawa, Indonesia",""
"","Jawa Timur","Gresik","Duduksampeyan","Duduksampeyan, Gresik, Jawa Timur, Jawa, Indonesia",""
"","Sumatera Utara","Medan","Medan Helvetia","Medan Helvetia, Kota Medan, Sumatera Utara, Sumatera, Indonesia",""
"","Jawa Timur","Banyuwangi","Rogojampi","Rogojampi, Banyuwangi, Jawa Timur, Jawa, Indonesia",""
"","Jawa Timur","Kediri Kabupaten","Kunjang","Kunjang, Kabupaten Kediri, Jawa Timur, Jawa, 64156, Indonesia",""
"","Kalimantan Timur","Penajam Paser Utara","Sepaku","Sepaku, Penajam Paser Utara, Kalimantan Timur, 76148, Indonesia",""
"","Jawa Timur","Mojokerto Kabupaten","Gedek","Jalan Raya Tapen-Gedek, Betro, Mojokerto, Jawa Timur, Jawa, 64412, Indonesia",""
"","Jawa Tengah","Banyumas","Kedungbanteng","Kedungbanteng, Banyumas, Jawa Tengah, Jawa, 53152, Indonesia",""
"","Daerah Istimewa Yogyakarta","Bantul","Jetis","Jetis, Bantul, Daerah Istimewa Yogyakarta, Jawa, 55781, Indonesia",""
"","Jawa Tengah","Kendal","Boja","Boja, Kendal, Jawa Tengah, Jawa, 51381, Indonesia",""
"","Bali","Badung","Petang","Petang, Badung, Bali, Nusa Tenggara, 82191, Indonesia",""
"","Sumatera Utara","Samosir","Ronggur Nihuta","Ronggur Nihuta, Samosir, Sumatera Utara, Sumatera, Indonesia",""
"","Jawa Tengah","Brebes","Kersana","Kersana, Brebes, Jawa Tengah, Jawa, 52264, Indonesia",""
"","Banten","Lebak","Malingping","Malingping Selatan, Lebak, Banten, Jawa, Indonesia",""
"","Nusa Tenggara Timur","Sumba Barat","","Sumba Barat, Nusa Tenggara Timur, Nusa Tenggara, Indonesia",""
"","Jawa Timur","Mojokerto","Pungging","Pungging, Mojokerto, Jawa Timur, Jawa, Indonesia",""
"","Jawa Tengah","Wonogiri","Paranggupito","Paranggupito, Wonogiri, Jawa Tengah, Jawa, Indonesia",""
"","Jawa Tengah","Boyolali","Klego","Klego, Boyolali, Jawa Tengah, Jawa, 57385, Indonesia",""
"","Bengkulu","Bengkulu","Kampung Melayu","Kampung Melayu, Bengkulu, Sumatera, Indonesia",""
"","Jawa Barat","Pangandaran","Sidamulih","Sidamulih, Pangandaran, Jawa Barat, Jawa, Indonesia",""
"","Banten","Lebak","Wanasalam","Wanasalam, Lebak, Banten, Jawa, Indonesia",""
"","Sumatera Barat","Sawahlunto","Lembah Segar","Lunto Barat, Sawahlunto, Sumatera Barat, Sumatera, Indonesia",""
"","Kalimantan Barat","Kubu Raya","Kubu","Kubu, Kubu Raya, Kalimantan Barat, Indonesia",""
"JABODETABEK","Jawa Barat","Bogor","Kemang","Kemang, Kab Bogor, Jawa Barat, Jawa, Indonesia",""
"Bandung Raya","Jawa Barat","Bandung Barat","Ngamprah","Ngamprah, Bandung Barat, Jawa Barat, Jawa, 40552, Indonesia",""
"","Jawa Barat","Majalengka","Kertajati","Kertajati, Majalengka, Jawa Barat, Jawa, Indonesia",""
"","Jawa Barat","Bandung Kota","Kiaracondong","Kiaracondong, Jalan H. Ibrahim Adjie, Kebonjayanti, Kiaracondong, Kota Bandung, Jawa Barat, Jawa, 40283, Indonesia",""
"","Jawa Tengah","Karanganyar","Karanganyar","Karanganyar, Jalan Stasiun, Karanganyar, Kebumen, Jawa Tengah, Jawa, 54364, Indonesia",""
"","Jawa Barat","Sukabumi Kota","Citamiang","PolSek Citamiang, Jalan Tipar Gede, Sukabumi, Gunung Parang, Sukabumi, Jawa Barat, Jawa, 43141, Indonesia",""
"","Riau","Kampar","Siak Hulu","Perum Panorama Siak Hulu, Pandau Jaya, Kampar, Riau, Sumatera, Indonesia",""
"","Gorontalo","Pohuwato","Marisa","Marisa, Pohuwato, Gorontalo, Sulawesi, Indonesia",""
"","Sumatera Utara","Medan","Medan Maimun","Medan Maimun, Kota Medan, Sumatera Utara, Sumatera, Indonesia",""
"","Jawa Timur","Malang Kabupaten","Wajak","Wajak, Kabupaten Malang, Jawa Timur, Jawa, 65173, Indonesia",""
"","Kalimantan Barat","Singkawang","Singkawang Timur","Singkawang Timur, Singkawang, Kalimantan Barat, Indonesia",""
"","Jawa Tengah","Pekalongan Kota","Pekalongan Timur","Gereja Katholik Paroki Santo Petrus Pekalongan, Jalan Blimbing, Sampangan, Pekalongan ꦥꦼꦏꦭꦺꦴꦔꦤ꧀, Jawa Tengah, Jawa, 51126, Indonesia",""
"","Jawa Timur","Pasuruan Kota","Gadingrejo","Gadingrejo, Kota Pasuruan, Jawa Timur, Jawa, 67131, Indonesia",""
"","Jawa Tengah","Pekalongan Kabupaten","Buaran","Buaran, Pekalongan, Jawa Tengah, Jawa, 51172, Indonesia",""
"","Sumatera Utara","Langkat","Hinai","Hinai Kiri, Langkat, Sumatera Utara, Sumatera, Indonesia",""
"","Daerah Istimewa Yogyakarta","Kulon Progo","Nanggulan","Nanggulan, Kulon Progo, Daerah Istimewa Yogyakarta, Jawa, 55671, Indonesia",""
"","Kalimantan Timur","Kutai Timur","Bengalon","Muara Bengalon, Kutai Timur, Kalimantan Timur, Indonesia",""
"","Sumatera Utara","Toba Samosir","Tampahan","http://nominatim.mad.mitulagroup.net/id/ui/search.html?q=Tampahan%2C+Toba+Samosir%2C+Sumatera+Utara","not_found"
"","Jawa Timur","Pasuruan Kabupaten","Sukorejo","Sukorejo, Jalan Raya Bangil - Sukorejo, Glagah Sari, Pasuruan, Jawa Timur, Jawa, 67161, Indonesia",""
"","Jawa Tengah","Demak","Guntur","Guntur, Demak, Jawa Tengah, Jawa, Indonesia",""
"","Kalimantan Timur","Samarinda","Sungai Kunjang","Sungai Kunjang, Samarinda, Kalimantan Timur, Indonesia",""
"","Kalimantan Barat","Pontianak Kabupaten","Mempawah Hulu","http://nominatim.mad.mitulagroup.net/id/ui/search.html?q=Mempawah+Hulu%2C+Pontianak+Kabupaten%2C+Kalimantan+Barat","not_found"
"","Sulawesi Tengah","Morowali","Bahodopi","Bahodopi, Morowali, Sulawesi Tengah, Sulawesi, 94974, Indonesia",""
"","Jawa Barat","Karawang","","Karawang, Jalan Arief Rahman Hakim, Nagasari, Karawang, Jawa Barat, Jawa, 41312, Indonesia",""
"","Nusa Tenggara Timur","Kupang","Semau","Pulau Semau, Akle, Kupang, Nusa Tenggara Timur, Nusa Tenggara, Indonesia",""
"JABODETABEK","Jawa Barat","Bogor","Bogor Timur","Bogor Timur, Bogor, Jawa Barat, Jawa, Indonesia",""
"","Aceh","Subulussalam","Simpang Kiri","Simpang Kiri, Subulussalam, Aceh, Sumatera, Indonesia",""
"","Sulawesi Tengah","Banggai","","Banggai, Sulawesi Tengah, Sulawesi, Indonesia",""
"","Aceh","Banda Aceh","Jaya Baru","Jaya Baru, Banda Aceh, Aceh, Sumatera, Indonesia",""
"","Sulawesi Selatan","Takalar","Polombangkeng Selatan","Polombangkeng Selatan, Takalar, Sulawesi Selatan, Sulawesi, 92252, Indonesia",""
"","Papua Barat","Manokwari","Manokwari Selatan","Kantor Bupati Manokwari Selatan, Jalan Raya Ransiki, Kampung Kobrey, Manokwari Selatan, Papua Barat, Western New Guinea, Indonesia",""
"","Lampung","Lampung Selatan","Ketapang","Ketapang, Bandar Lampung, Lampung, Sumatera, 35245, Indonesia",""
"JABODETABEK","Banten","Tangerang","Balaraja","Balaraja, Kabupaten Tangerang, Banten, Jawa, Indonesia",""
"","Jawa Barat","Cirebon","Kesambi","Kesambi, Kota Cirebon, Jawa Barat, Jawa, Indonesia",""
"","Jawa Barat","Bandung Kota","Arcamanik","Arcamanik, Kota Bandung, Jawa Barat, Jawa, 40293, Indonesia",""
"","Sumatera Utara","Deli Serdang","Percut Sei Tuan","SMP Negeri 7 Percut Sei Tuan, Jalan Paluh Merbau, Paluh Merbau, Deli Serdang, Sumatera Utara, Sumatera, Indonesia",""
"","Jawa Barat","Bandung Kabupaten","Margaasih","Margaasih, Kabupaten Bandung, Jawa Barat, Jawa, 40562, Indonesia",""
"","DKI Jakarta","Jakarta Utara","Koja","Koja, Jakarta Utara, Daerah Khusus ibukota Jakarta, Jawa, Indonesia",""
"","Banten","Tangerang Kabupaten","Cikupa","Cikupa, Kabupaten Tangerang, Banten, Jawa, 15710, Indonesia",""
"","Bali","Tabanan","Kerambitan","Kerambitan, Tabanan, Bali, Nusa Tenggara, 82115, Indonesia",""
"","Daerah Istimewa Yogyakarta","Gunung Kidul","Wonosari","Wonosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta, Jawa, Indonesia",""
"","Nusa Tenggara Barat","Mataram","Mataram","Hotel Mataram, Jalan Palapa I, Lingk. Banjar Pande Selatan, Kel. Cilinaya, Cakranegara Utara, Mataram, Kec. Cakranegara, Nusa Tenggara Barat, Nusa Tenggara, 83231, Indonesia",""
"JABODETABEK","DKI Jakarta","Jakarta Timur","","Jakarta Timur, Daerah Khusus ibukota Jakarta, Jawa, Indonesia",""
"","Jawa Barat","Bekasi Kabupaten","Sukawangi","Sukawangi, Kab Bekasi, Jawa Barat, Jawa, Indonesia",""
"","Jawa Barat","Bogor Kabupaten","Tanjungsari","Tanjungsari, Kab Bogor, Jawa Barat, Jawa, Indonesia",""
"","Papua Barat Daya","Sorong","","Sorong, Papua Barat Daya, Western New Guinea, Indonesia",""
"","Jawa Barat","Tasikmalaya Kota","Cibeureum","Cibeureum, Tasikmalaya, Jawa Barat, Jawa, Indonesia",""
"","Nusa Tenggara Timur","Sumba Timur","Kota Waingapu","Kecamatan Kota Waingapu, Nusa Tenggara Timur, Nusa Tenggara, 87116, Indonesia",""
"","Gorontalo","Gorontalo Kabupaten","Limboto","Limboto, Gorontalo, Sulawesi, 96137, Indonesia",""
"","Jawa Timur","Ponorogo","Mlarak","Mlarak, Ponorogo, Jawa Timur, Jawa, 63472, Indonesia",""
"","Sumatera Utara","Pematangsiantar","Siantar Sitalasari","Siantar Sitalasari, Kota Pematang Siantar, Kota Pematang Siantar–Simalungun, Sumatera Utara, Sumatera, 21139, Indonesia",""
"","Jawa Timur","Mojokerto","Kemlagi","Kemlagi, Mojokerto, Jawa Timur, Jawa, Indonesia",""
"","Nusa Tenggara Timur","Sumba Timur","Pandawai","Kecamatan Pandawai, Sumba Timur, Nusa Tenggara Timur, Nusa Tenggara, Indonesia",""
"","Kepulauan Bangka Belitung","Bangka Tengah","Namang","Desa Namang, Bangka Tengah, Kepulauan Bangka Belitung, Sumatera, Indonesia",""
"","Jawa Timur","Mojokerto","Pacet","Pacet, Mojokerto, Jawa Timur, Jawa, Indonesia",""
"","Sulawesi Utara","Minahasa","Remboken","SMA Negeri 1 Remboken, Jalan Raya Unima, Leleko, Minahasa, Sulawesi Utara, Sulawesi, 95618, Indonesia",""
"","Jawa Timur","Blitar Kabupaten","Udanawu","http://nominatim.mad.mitulagroup.net/id/ui/search.html?q=Udanawu%2C+Blitar+Kabupaten%2C+Jawa+Timur","not_found"
"","Daerah Istimewa Yogyakarta","Bantul","Srandakan","Srandakan, Bantul, Daerah Istimewa Yogyakarta, Jawa, Indonesia",""
"","Sulawesi Tengah","Banggai","Pagimana","Pagimana, Banggai, Sulawesi Tengah, Sulawesi, Indonesia",""
"","Sulawesi Selatan","Bulukumba","Ujung Bulu","http://nominatim.mad.mitulagroup.net/id/ui/search.html?q=Ujung+Bulu%2C+Bulukumba%2C+Sulawesi+Selatan","not_found"
"","Jawa Tengah","Grobogan","Klambu","Klambu, Grobogan, Jawa Tengah, Jawa, Indonesia",""
"","Aceh","Bireuen","","Bireuen, Aceh, Sumatera, Indonesia",""
"","Jawa Barat","Bandung Kota","Cicendo","Cicendo, Kota Bandung, Jawa Barat, Jawa, Indonesia",""
"","Jawa Tengah","Surakarta","Banjarsari","Banjarsari, Surakarta, Jawa Tengah, Jawa, 57136, Indonesia",""
"","Jawa Barat","Depok","Beji","Beji, Depok, Jawa Barat, Jawa, Indonesia",""
"","DKI Jakarta","Jakarta Timur","Pasar Rebo","Pasar Rebo, Jakarta Timur, Daerah Khusus ibukota Jakarta, Jawa, Indonesia",""
"","Jawa Timur","Lamongan","Babat","Babat, Jalan K.H. Ahmad Dahlan, Babat, Lamongan, Jawa Timur, Jawa, 62271, Indonesia",""
"","Jawa Tengah","Klaten","Kalikotes","Kalikotes, Klaten, Jawa Tengah, Jawa, 57451, Indonesia",""
"","Jawa Timur","Probolinggo Kota","Kedopok","Ruang Terbuka Hijau Kedopok, Kedepok, Kota Probolinggo, Jawa Timur, Jawa, Indonesia",""
"","Jawa Timur","Banyuwangi","Tegalsari","Tegalsari, Banyuwangi, Jawa Timur, Jawa, 68486, Indonesia",""
"JABODETABEK","DKI Jakarta","Jakarta","Kelapa Gading","Kelapa Gading, Jakarta Utara, Daerah Khusus ibukota Jakarta, Jawa, 14250, Indonesia",""
"","Jawa Tengah","Sukoharjo","Nguter","Nguter, Sukoharjo, Jawa Tengah, Jawa, 57652, Indonesia",""
"","Jawa Tengah","Sragen","Sragen","Sragen, Jalan Diponegoro, Sragen, Jawa Tengah, Jawa, 57211, Indonesia",""
"","Banten","Serang Kabupaten","Tunjung Teja","Tunjung Teja, Kab Serang, Banten, Jawa, Indonesia",""
"","Banten","Serang Kabupaten","Ciruas","Ciruas, Kab Serang, Banten, Jawa, 42116, Indonesia",""
"","Jawa Tengah","Kudus","Kota Kudus","Kudus, Jawa Tengah, Jawa, 59318, Indonesia",""
"","Jawa Barat","Karawang","Purwasari","Purwasari, Karawang, Jawa Barat, Jawa, 41377, Indonesia",""
"","Kalimantan Timur","Balikpapan","Balikpapan Barat","Balikpapan Barat, Balikpapan, Kalimantan Timur, Indonesia",""
"","Jawa Tengah","Purbalingga","Kemangkon","Kemangkon, Purbalingga, Jawa Tengah, Jawa, 53382, Indonesia",""
"","Jawa Timur","Jombang","Kudu","Kudu, Jombang, Jawa Timur, Jawa, 64412, Indonesia",""
"Bandung Raya","Jawa Barat","Bandung Kabupaten","Solokan Jeruk","Solokanjeruk, Kabupaten Bandung, Jawa Barat, Jawa, 40382, Indonesia","joined"
"","Sulawesi Tengah","Sigi","Sigi Biromaru","Biromaru, Mpanau, Sigi, Sulawesi Tengah, Sulawesi, 94312, Indonesia",""
"","Jawa Timur","Bojonegoro","Kepoh Baru","Jalan Baureno-Kepohbaru, Blongsong, Bojonegoro, Jawa Timur, Jawa, Indonesia","joined"
"","Riau","Kuantan Singingi","","Kuantan Singingi, Riau, Sumatera, 29563, Indonesia",""
"","Maluku Utara","Ternate","Ternate Utara","Pulau Ternate, Ternate, Maluku Utara, Maluku, Indonesia",""
"","Jawa Barat","Karawang","Pakisjaya","TPI Pakisjaya, Jalan Raya Tanjungpakis, Tanjungpakis, Karawang, Jawa Barat, Jawa, Indonesia",""
"","Sulawesi Selatan","Luwu","Bupon","http://nominatim.mad.mitulagroup.net/id/ui/search.html?q=Bupon%2C+Luwu%2C+Sulawesi+Selatan","not_found"
"","Jawa Tengah","Wonosobo","Kalikajar","Kalikajar, Wonosobo, Jawa Tengah, Jawa, 56372, Indonesia",""
"","Jawa Barat","Sukabumi","Cicantayan","Cicantayan, Kab Sukabumi, Jawa Barat, Jawa, 43156, Indonesia",""
"Bandung Raya","Jawa Barat","Cimahi","Cimahi Tengah","Cimahi, Baros, Cimahi, Jawa Barat, Jawa, 40534, Indonesia",""
"JABODETABEK","Jawa Barat","Depok","Beji","Beji, Depok, Jawa Barat, Jawa, Indonesia",""
"","Banten","Tangerang Kabupaten","Kelapa Dua","Kelapa Dua, Kabupaten Tangerang, Banten, Jawa, Indonesia",""
"","Jawa Barat","Bandung Kota","Buahbatu","Buahbatu, Kota Bandung, Jawa Barat, Jawa, Indonesia",""
"","Sumatera Selatan","Banyu Asin","Talang Kelapa","Talang Buluh, Talang Kelapa, Banyuasin, Sumatera Selatan, Sumatera, Indonesia",""
"","Sumatera Utara","Medan","Medan Barat","Medan Barat, Kota Medan, Sumatera Utara, Sumatera, Indonesia",""
"","Jawa Barat","Bandung Kota","Regol","Regol, Kota Bandung, Jawa Barat, Jawa, Indonesia",""
"","Banten","Serang Kota","Walantaka","Walantaka, Serang, Banten, Jawa, Indonesia",""
"","Jawa Barat","Bandung Barat","Cihampelas","Cihampelas, Bandung Barat, Jawa Barat, Jawa, 40767, Indonesia",""
"","Sumatera Barat","Padang","Kuranji","Kuranji, Padang, Sumatera Barat, Sumatera, 25131, Indonesia",""
"","Jawa Barat","Banjar","Langensari","Langensari, Banjar, Jawa Barat, Jawa, Indonesia",""
"","Jawa Barat","Sukabumi Kabupaten","Cisaat","Cisaat, Jalan Raya Veteran, Cisaat, Kab Sukabumi, Jawa Barat, Jawa, 43152, Indonesia",""
"","Sulawesi Selatan","Sidenreng Rappang","","Sidenreng Rappang, Sulawesi Selatan, Sulawesi, Indonesia",""
"","Banten","Serang Kota","Curug","Curug, Serang, Banten, Jawa, 42171, Indonesia",""
"","Jawa Tengah","Rembang","Sluke","Sluke, Rembang, Jawa Tengah, Jawa, Indonesia",""
"","Jawa Tengah","Wonogiri","Wonogiri","Wonogiri, Jalan Panglima Besar Sudirman, Wonogiri, Jawa Tengah, Jawa, 57612, Indonesia",""
"","Jawa Barat","Subang","Pagaden","Pagaden, Subang, Jawa Barat, Jawa, 41252, Indonesia",""
"","Lampung","Bandar Lampung","Enggal","Enggal, Bandar Lampung, Lampung, Sumatera, 35127, Indonesia",""
"JABODETABEK","Jawa Barat","Bogor","Bogor Selatan","Bogor Selatan, Bogor, Jawa Barat, Jawa, Indonesia",""
"","Jawa Barat","Majalengka","Talaga","Talaga (Majalengka), Jalan Raya Talaga - Cikijing, Talagawetan, Majalengka, Jawa Barat, Jawa, 45463, Indonesia",""
"","Jawa Barat","Pangandaran","","Pangandaran, Jawa Barat, Jawa, 46396, Indonesia",""
"","Kalimantan Tengah","Kotawaringin Barat","Arut Selatan","SMP Negeri 2 Arut Selatan, Jalan Pasanah, Pangkalan Bun, Kotawaringin Barat, Kalimantan Tengah, 74112, Indonesia",""
"","Kepulauan Riau","Bintan","","Bintan, Kepulauan Riau, Sumatera, Indonesia",""
"","Jawa Timur","Sampang","Pangarengan","Pangarengan, Sampang, Jawa Timur, Jawa, Indonesia",""
"","Jawa Tengah","Wonogiri","Batuwarno","Batuwarno, Wonogiri, Jawa Tengah, Jawa, 57674, Indonesia",""
